start_station_name,member_casual,total_rides
Navy Pier,casual,23174
DuSable Lake Shore Dr & Monroe St,casual,22011
DuSable Lake Shore Dr & North Blvd,casual,15836
Michigan Ave & Oak St,casual,15243
Shedd Aquarium,casual,13393
Streeter Dr & Grand Ave,casual,12975
Millennium Park,casual,12826
Theater on the Lake,casual,12608
Dusable Harbor,casual,11089
Wells St & Concord Ln,casual,8456
Kingsbury St & Kinzie St,member,22920
Canal St & Madison St,member,21939
Clinton St & Washington Blvd,member,21844
Clinton St & Madison St,member,20257
State St & Chicago Ave,member,19358
Wells St & Elm St,member,18849
Clark St & Elm St,member,18548
Wells St & Concord Ln,member,18366
Clinton St & Jackson Blvd,member,18347
Wells St & Huron St,member,18017
